w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.253553,-0.446627,-0.522678,0.341003,0.427671,0.419516,0.065900,0.01232000,0.077800
-0.381979,-0.205698,-0.235995,0.273186,0.520775,0.262993,0.502600,0.01176000,-0.056000
-0.325253,-0.095506,-0.182045,0.156293,0.579898,0.122583,0.549100,0.01124000,-0.067900
-0.145033,-0.536192,-0.022084,0.568458,0.302645,0.483089,0.518000,0.01603000,-0.002500
-0.471200,-0.184841,-0.224466,0.195654,0.209877,0.500839,0.282900,0.01151000,-0.062000
-0.413690,-0.230803,-0.300631,0.432001,0.575384,0.201326,0.455600,0.01393000,-0.013400
-0.268271,-0.495465,-0.058992,0.225373,0.384602,0.281267,0.430600,0.01089000,-0.049100
-0.593632,-0.168833,-0.442199,0.171024,0.337811,0.284804,0.253100,0.01205000,-0.048300
-0.443013,-0.422004,-0.393205,0.496893,0.552645,0.091941,0.188400,0.01504000,0.058200
-0.202281,-0.421138,-0.179330,0.505799,0.504879,0.313969,0.485100,0.01406000,0.009700
-0.092780,-0.223855,-0.160153,0.122691,0.588668,0.555440,0.657000,0.01242000,-0.103500
-0.372581,-0.443112,-0.194197,0.483956,0.341270,0.586683,0.202900,0.01589000,0.008300
-0.447219,-0.206615,-0.562655,0.068504,0.349350,0.433084,-0.263200,0.01818000,0.063500
-0.451486,-0.306787,-0.321923,0.241230,0.059871,0.287195,-0.031500,0.01216000,0.039200
-0.121639,-0.396832,-0.210387,0.116430,0.180834,0.229082,0.196100,0.00789000,0.022400
-0.328619,-0.589237,-0.343038,0.560599,0.546478,0.525735,0.065200,0.01822000,0.068200
-0.192383,-0.122049,-0.259658,0.530644,0.175960,0.199766,0.536300,0.01429000,0.034100
-0.394325,-0.389348,-0.083697,0.133956,0.336151,0.495313,0.398600,0.01060000,-0.097300
-0.323592,-0.144243,-0.043762,0.142513,0.166664,0.396530,0.508200,0.00876000,-0.094300
-0.016429,-0.242616,-0.116630,0.562839,0.177071,0.158585,0.476200,0.00001000,0.043000
-0.091234,-0.405226,-0.219834,0.206886,0.131919,0.472609,0.204400,0.00999000,0.021800
-0.081787,-0.221870,-0.087727,0.359243,0.526252,0.117706,0.705200,0.01101000,-0.029600
-0.596328,-0.276503,-0.541540,0.357598,0.168021,0.306287,0.116400,0.01535000,0.018100
-0.261923,-0.060176,-0.362674,0.217074,0.385143,0.201965,0.587000,0.01233000,-0.043100
-0.376895,-0.007316,-0.446549,0.255441,0.571749,0.189497,0.608500,0.01294000,-0.056500
-0.566151,-0.064478,-0.306277,0.437805,0.376990,0.003755,0.273300,0.01494000,0.017200
-0.297343,-0.217522,-0.290467,0.352655,0.120023,0.171210,0.144500,0.01052000,0.061800
-0.222684,-0.333593,-0.081546,0.342957,0.497649,0.349136,0.668500,0.01170000,-0.070400
-0.385842,-0.225604,-0.062991,0.168678,0.198435,0.461327,0.457300,0.00962000,-0.096400
-0.260734,-0.371804,-0.037354,0.144689,0.422066,0.271375,0.531800,0.01026000,-0.083400
-0.223028,-0.162157,-0.067225,0.579018,0.512765,0.434431,0.825900,0.01610000,-0.066500
-0.201215,-0.477634,-0.267898,0.120207,0.404074,0.408290,0.293300,0.01064000,-0.024800
-0.574273,-0.290942,-0.550465,0.557232,0.231030,0.421736,0.192800,0.01770000,0.035100
-0.505167,-0.180973,-0.427514,0.558151,0.267824,0.195976,0.289200,0.01625000,0.041000
-0.540618,-0.164051,-0.400869,0.003506,0.572598,0.478142,-0.358400,0.03132000,0.020700
-0.485537,-0.419234,-0.142375,0.507788,0.119502,0.186893,0.167800,0.01513000,0.035500
-0.577743,-0.387181,-0.351478,0.553269,0.596293,0.391064,0.162500,0.01915000,0.012600
-0.497549,-0.088262,-0.209257,0.209815,0.494370,0.420623,0.594400,0.01278000,-0.122000
-0.269211,-0.060502,-0.031493,0.166514,0.138667,0.061693,0.373400,0.00920000,-0.023100
-0.376033,-0.425702,-0.156559,0.395975,0.151902,0.218664,0.178100,0.01305000,0.030400
-0.549984,-0.442470,-0.356804,0.100793,0.230043,0.236787,-0.257500,0.01507000,0.044000
-0.104691,-0.399257,-0.546020,0.405974,0.286258,0.208164,0.168600,0.01346000,0.114300
-0.470357,-0.118538,-0.501972,0.223132,0.387211,0.425197,0.549600,0.01206000,-0.086200
-0.241393,-0.441005,-0.059375,0.550324,0.103119,0.063027,0.290800,0.01456000,0.067200
-0.354841,-0.239903,-0.564936,0.496799,0.481424,0.348318,0.389000,0.01765000,0.034400
